job_name,mult,energy_hartree,normal_term,opt_converged,xyz_path
double_ring_6_6_d1.90_m1,1,-14.30221528287,True,True,results/01_xtb_xyz/double_ring_6_6_d1.90_m1.xyz
double_ring_6_6_d1.50_m1,1,-14.30221522886,True,True,results/01_xtb_xyz/double_ring_6_6_d1.50_m1.xyz
test_xtb_fix2,,-14.30221522886,True,True,results/01_xtb_xyz/test_xtb_fix2.xyz
double_ring_6_6_d1.70_m1,1,-14.30221478366,True,True,results/01_xtb_xyz/double_ring_6_6_d1.70_m1.xyz
random_d1.70_010_m1,1,-14.28160166235,True,False,results/01_xtb_xyz/random_d1.70_010_m1.xyz
random_d1.70_003_m1,1,-14.27770403361,True,False,results/01_xtb_xyz/random_d1.70_003_m1.xyz
random_d1.90_006_m1,1,-14.27656109178,True,False,results/01_xtb_xyz/random_d1.90_006_m1.xyz
random_d1.70_010_m3,3,-14.2754996731,True,False,results/01_xtb_xyz/random_d1.70_010_m3.xyz
random_d1.50_005_m3,3,-14.27511311958,True,False,results/01_xtb_xyz/random_d1.50_005_m3.xyz
random_d1.50_001_m1,1,-14.27211168564,True,False,results/01_xtb_xyz/random_d1.50_001_m1.xyz
random_d1.70_001_m1,1,-14.26886765772,True,False,results/01_xtb_xyz/random_d1.70_001_m1.xyz
random_d1.70_007_m3,3,-14.26772106099,True,False,results/01_xtb_xyz/random_d1.70_007_m3.xyz
random_d1.50_004_m1,1,-14.26745893713,True,False,results/01_xtb_xyz/random_d1.50_004_m1.xyz
random_d2.10_008_m1,1,-14.26744853444,True,False,results/01_xtb_xyz/random_d2.10_008_m1.xyz
random_d1.50_005_m1,1,-14.265911413,True,False,results/01_xtb_xyz/random_d1.50_005_m1.xyz
random_d1.50_007_m1,1,-14.26527479994,True,False,results/01_xtb_xyz/random_d1.50_007_m1.xyz
random_d1.50_008_m1,1,-14.26379263292,True,False,results/01_xtb_xyz/random_d1.50_008_m1.xyz
random_d1.90_002_m1,1,-14.2637674571,True,False,results/01_xtb_xyz/random_d1.90_002_m1.xyz
random_d1.70_009_m1,1,-14.26260440496,True,False,results/01_xtb_xyz/random_d1.70_009_m1.xyz
random_d1.70_001_m3,3,-14.2615691949,True,False,results/01_xtb_xyz/random_d1.70_001_m3.xyz
